a, ab (prep. abl.)|de, desde, por
grammatica, -ae (f.)|gramática
grammaticus, -i (m.)|gramático, maestro de gramática
gratia, -ae (f.)|gracia, gratitud, favor, influencia; gratias agere: dar las gracias
gratis (adv.)|gratuitamente, gratis
gratus, -a, -um|grato, agradable, agradecido
gravis, -e|pesado, grave, importante
graviter (adv.)|gravemente, pesadamente, con dificultad; graviter ferre: sobrellevar a duras penas, llevar a mal
grex, gregis (m.)|grey, rebaño, manada

habeo, -es, -ere, -bui, -bitum|tener, tener por, considerar
habito, -as, -are, -avi, -atum|habitar, vivir
hac (adv.)|por aquí
Haedui, -orum (m.)|los eduos (pueblo de la Galia)
Haeduus, -a, -um|eduo (perteneciente al pueblo de los eduos)
Hamilcar, -aris (m.)|Amílcar
Hannibal, -alis (m.)|Aníbal
Hasdrubal, -alis (m.)|Asdrúbal
hasta, -ae (f.)|lanza
haud (adv.)|no
Helvetii, -orum (m.)|los helvecios
heri (adv.)|ayer
hiberna, -orum (n.)|cuarteles de invierno
hic (adv. de lugar en donde)|aquí
hic, haec, hoc|éste, este
hiemo, -as, -are, -avi, -atum|invernar
hinc (adv.)|de aquí, desde aquí
Hispani, -orum (m.)|los hispanos, los españoles
Hispania, -ae (f.)|Hispania, España
historia, -ae (f.)|historia
hodie (adv.)|hoy
homo, -minis (m.)|hombre (persona)
hora, -ae (f.)|hora
Horatius, -ii (m.)|Horacio (nomen)
hostis, -is (m.)|enemigo
huc (adv. de lugar adonde)|aquí (a este sitio)
humanitas, -atis (f.)|humanidad, cultura
humilis, -e|humilde, bajo
humus, -i (f.)|tierra, suelo
iacio, -is, -ere, ieci, iactum|lanzar, arrojar
iam (adv.)|ya
Ianuarius, -ii (m.)|enero
Ianuarius, -a, -um|de enero
ibi (adv. de lugar en donde)|allí
ibidem (adv. de lugar en donde)|allí mismo, en ese mismo sitio
idem, eadem, idem|el mismo
ideo (adv.)|por eso
idoneus, -a, -um|idóneo, adecuado, apropiado
Idus, -uum (f.)|idus, día 13 del mes (día 15 en marzo, mayo, julio y octubre)
igitur (conj. ilat.)|así pues, por tanto, por consiguiente
ignavus, -a, -um|cobarde
ignis, -is (m.)|fuego
ignoro, -as, -are, -avi, -atum|ignorar
ille, -a, -ud|aquél, aquel, él
imparatus, -a, -um|desprevenido
impedimentum, -i (n.)|impedimento, estorbo; impedimenta, -orum: impedimenta, bagaje, equipaje
impedio, -is, -ire, -ivi, -itum|impedir, retrasar, estorbar
impendeo, -es, -ere|estar pendiente sobre, ser inminente, amenazar, dominar
imperator, -oris (m.)|general, jefe supremo del ejército (el que posee el imperium)
imperium, -ii (n.)|mando, poder, dominio, imperio
impero, -as, -are, -avi, -atum|ordenar, mandar
impetro, -as, -are, -avi, -atum|obtener, conseguir (con ruegos)
impetus, -us (m.)|ímpetu, ataque, empuje; impetum facere: realizar un ataque, atacar
impleo, -es, -ere, -evi, -etum|llenar
impono, -is, -ere, -posui, -positum|imponer
importo, -as, -are, -avi, -atum|importar, traer, producir, causar
imprudenter (adv.)|imprudentemente
imprudentia, -ae (f.)|imprudencia
impune (adv.)|impunemente
imus, -a, -um|lo más bajo de, lo más profundo de
in (prep. abl.)|en; (prep. ac.): a, contra
incendium, -ii (n.)|incendio
incendo, -is, -ere, -ndi, -nsum|encender, incendiar
incido, -is, -ere, -cidi|caer
incipio, -is, -ere, -cepi, -ceptum|empezar, comenzar, emprender
incola, -ae (m.)|habitante, poblador
incolo, -is, -ere, -colui|habitar, poblar
incredibilis, -e|increíble
inde (adv.)|de allí, desde allí, desde entonces
indico, -is, -ere, -dixi, -dictum|determinar, publicar; indicare bellum: declarar la guerra
indidem (adv.)|de allí mismo, desde el mismo lugar
induco, -is, -ere, -duxi, -ductum|llevar, inducir, incitar, introducir
ineo, -is, -ire, -ii, -itum|dirigirse (a), entrar (en), emprender, comenzar
infero, -rs, -rre, -tuli, -latum|llevar, lanzar, introducir, causar; inferre bellum o signa in aliquem: atacar a alguien
infirmus, -a, -um|débil, inseguro
influo, -is, -ere, -fluxi, -fluxum|fluir, penetrar, desembocar
ingens, -ntis|ingente, inmenso, grande
inicio o inicio, -is, -ere, -ieci, -iectum|lanzar, arrojar, introducir, inspirar, infundir
inimicus, -a, -um|enemigo, hostil, adverso
iniquus, -a, -um|inicuo, injusto, desigual, desfavorable
initium, -ii (n.)|comienzo, principio, origen
iniuria, -ae (f.)|injusticia, daño, perjuicio; iniuria (abl.): injustamente, sin razón
iniussu (abl.)|sin orden, sin mandato
innocens, -ntis|inocente, inofensivo
inopia, -ae (f.)|escasez, pobreza, falta de recursos
inopinans, -ntis|desprevenido
inquam, -is, -it|decir
inscribo, -is, -ere, -scripsi, -scriptum|escribir, inscribir, grabar
insidiae, -arum (f.)|trampa, emboscada, asechanza
insigne, -is (n.)|insignia, enseña, emblema
insignis, -e|insigne, ilustre, famoso, notable
instituo, -is, -ere, -titui, -titutum|instituir, establecer, disponer
institutum, -i (n.)|costumbre, propósito
instruo, -is, -ere, -struxi, -structum|formar, disponer, preparar, instruir
insula, -ae (f.)|isla
insum, -es, -esse, -fui|estar en, hallarse, existir
intellego (intelligo), -is, -ere, -lexi, -lectum|comprender, entender, darse cuenta de
inter (prep. ac.)|entre
intercedo, -is, -ere, -cessi, -cessum|interponerse, mediar, interceder, oponerse
intercessio, -onis (f.)|intercesión, oposición
interea (adv.)|entre tanto
intereo, -is, -ire, -ii, -itum|morir, desaparecer
interficio, -is, -ere, -feci, -fectum|matar
interim (adv.)|entre tanto
intermitto, -is, -ere, -misi, -missum|interponer, interrumpir
interrogo, -as, -are, -avi, -atum|interrogar, preguntar
intersum, -es, -esse, -fui|estar en medio, intervenir. Impers.: interesar, convenir
intra (prep. ac.)|dentro de, en el plazo de
intro, -as, -are, -avi, -atum|entrar
inutilis, -e|inútil
invado, -is, -ere, -vasi, -vasum|invadir, atacar, asaltar
invenio, -is, -ire, -veni, -ntum|encontrar
invidia, -ae (f.)|odio, envidia
invisus, -a, -um|odioso
invitus, -a, -um|forzado, (que obra) a disgusto, contra su voluntad
ipse, -a, -um|él, él mismo, mismo, yo mismo, tú mismo
irascor, -ceris, -ci, iratus sum|encolerizarse, montar en cólera
iratus, -a, -um|airado, colérico, encolerizado (part. de irascor)
irrumpo, -is, -ere, -rupi, -ruptum|irrumpir, entrar violentamente
is, ea, id|él, el, éste, este, aquél, aquel
iste, -a, -ud|ése, ese, tuyo
ita (adv.)|así; ita ut + ind.: así como, como, según, tal como; ita ut + subj.: de tal manera que
Italia, -ae (f.)|Italia
itaque (conj. ilat.)|así pues, por tanto, por eso, por consiguiente
item (adv.)|igualmente, asimismo, también
iter, itineris (n.)|camino, marcha, viaje, ruta; iter facere: hacer la marcha, marchar, pasar; magnis itineribus, maximis itineribus: a grandes o grandísimas etapas; a marchas forzadas
iterum (adv.)|de nuevo
iubeo, -es, -ere, iussi, iussum|mandar, ordenar, pedir
iudex, -dicis (m.)|juez
iudico, -as, -are, -avi, -atum|juzgar, considerar
iugum, -i (n.)|yugo
Iulius, -ii (m.)|Julio (nomen gentilicium y nombre del 7.º mes)
Iulius, -a, -um|del mes de julio
iumentum, -i (n.)|acémila, bestia de carga
iunctus, -a, -um|junto, unido (part. de iungo)
iungo, -is, -ere, -nxi, -nctum|juntar, unir, reunir
Iunius, -ii (m.)|Junio (nomen gentilicium y nombre del 6.º mes)
Iunius, -a, -um|del mes de junio
Iuno, -nonis (f.)|Juno
Iuppiter, Iovis (m.)|Júpiter
Iura, -ae (m.)|el monte Jura
iuro, -as, -are, -avi, -atum|jurar
ius, iuris (n.)|derecho, justicia, autoridad, poder; iure (abl.): justamente, con razón
iussu (abl.)|por orden, por mandato
iussum, -i (n.)|orden, mandato
iustitia, -ae (f.)|justicia
iustus, -a, -um|justo
iuvenis, -is (m.)|joven
iuventus, -tutis (f.)|juventud
kalendae, -arum (f.) |calendas (día 1.º de mes)
L. = Lucius|Lucio
Labienus, -i (m.)|Labieno (cognomen)
labor, -oris (m.)|trabajo, esfuerzo, fatiga, sufrimiento
laboro, -as, -are, -avi, -atum|trabajar, esforzarse
lacus, -us (m.)|lago, estanque, charca
laetitia, -ae (f.)|alegría
laetor, -aris, -ari, -atus sum|alegrarse
laetus, -a, -um|alegre, gozoso, feliz
late (adv.)|ampliamente, extensamente
Latine (adv.)|en latín
Latinus, -a, -um|latino
latro, -onis (m.)|bandido, salteador
latus, -a, -um|lato, ancho, extenso, dilatado
latus, -teris (n.)|lado, costado
laudo, -as, -are, -avi, -atum|alabar, ensalzar, elogiar
laus, laudis (f.)|alabanza, elogio, gloria, mérito
lavo, -as, -are, lavi, lautum o lavatum|lavar
legatus, -i (m.)|legado, emisario, mensajero, embajador
legio, -onis (f.)|legión (unidad militar que constaba de 4.000 a 6.000 infantes)
lego, -is, -ere, legi, lectum|leer, elegir
Lemannus, -i (m.)|el lago Lemán o de Ginebra
lenitas, -tatis (f.)|lenidad, dulzura, suavidad, indulgencia
leo, -onis (m.)|león
lepus, -poris (m.)|liebre
levo, -as, -are, -avi, -atum|aliviar, aligerar, levantar
lex, legis (f.)|ley
liber, -bri (m.)|libro
liber, -bera, -berum|libre
libere (adv.)|libremente
liberi, -orum (m.)|hijos
libero, -as, -are, -avi, -atum|liberar, librar, libertar
lictor, -oris (m.)|lictor (miembro de la escolta de un magistrado con imperium)
lingua, -ae (f.)|lengua
linter, -tris (m.)|lancha, barca
littera, -ae (f.)|letra
litterae, -arum (f.)|letras, carta
locus, -i (m.)|lugar, puesto, sitio (pl.: loci y loca)
longe (adv.)|lejos; longe abesse: distar mucho, estar muy lejos; longe ab: lejos de; longe + superl.: con mucho
longus, -a, -um|largo; navis longa: nave de guerra
Longus, -i (m.)|Longo (cognomen)
loquor, -queris, -qui, locutus sum|hablar
lorica, -ae (f.)|coraza, loriga
Luceria, -ae (f.)|Luceria (ciudad de Apulia, en el S-E de Italia)
Lucerini, -orum (m.)|los lucerinos
Lucius, -ii (m.)|Lucio (praenomen)
ludus, -i (m.)|juego, escuela
luna, -ae (f.)|luna
lupus, -i (m.)|lobo
lux, lucis (f.)|luz, claridad, día; prima luce: al amanecer
M. = Marcus|Marco
M'. = Manius|Manio
magis (adv.)|más
magister, -tri (m.)|maestro, maestre, jefe
magistratus, -us (m.)|magistrado, magistratura
magnus, -a, -um|grande, magno, importante, poderoso
maior, maius|comparativo de magnus
maiores, -um (m.)|los mayores, los antepasados
Maius, -i (m.)|mayo
Maius, -a, -um|de mayo
male (adv.)|mal
maleficium, -ii (n.)|maleficio, mala acción, daño, perjuicio
malo, mavis, malle, malui|preferir, anteponer
malum, -i (n.)|mal, maldad, desgracia
malus, -a, -um|malo, malvado
mando, -as, -are, -avi, -atum|encomendar, mandar, confiar
mane (adv.)|por la mañana
maneo, -es, -ere, mansi, mansum|permanecer, quedarse
Manius, -ii (m.)|Manio (praenomen)
manus, -us (f.)|mano, tropa
Marcus, -i (m.)|Marco (praenomen)
mare, -ris (n.)|mar
Mars, -rtis (m.)|Marte
Martius, -ii (m.)|marzo
Martius, -a, -um|de Marte o de marzo; Campus Martius: el Campo de Marte
Masinissa, -ae (m.)|Masinisa (rey de Numidia)
mater, -tris (f.)|madre
Matrona, -ae (m.)|el Marne
maturo, -as, -are, -avi, -atum|apresurar, madurar
maturus, -a, -um|maduro
maxime (adv. superl. de magis)|muchísimo, sobre todo, principalmente, sí, desde luego
maximus, -a, -um|superlativo de magnus
Maximus, -i (m.)|Máximo (cognomen)
medius, -a, -um|medio, intermedio, central, que está en medio
melior, -ius|comparativo de bonus
memini, -isse|recordar
memorabilis, -e|memorable, ilustre, famoso
memoro, -as, -are, -avi, -atum|mencionar, recordar, narrar
mendacium, -ii (n.)|mentira
mendax, -acis|mendaz, falso, embustero
mensis, -is (m.)|mes
mentior, -iris, -iri, -itus sum|mentir
mereor, -eris, -eri, -ritus sum|merecer
meridies, -ei (m.)|mediodía
merito (adv.)|merecidamente, con razón
Messala, -ae (m.)|Mesala (cognomen)
Metaurus, -i (m.)|Metauro (río de la Umbría)
metus, -us (m.)|temor
meus, -a, -um|mío, mi
migro, -as, -are, -avi, -atum|marchar, ir
miles, -itis (m.)|soldado
milia, -ium (n.)|miles, millares; milia passuum: miles de pasos, millas
miliens (adv.)|mil veces
militaris, -e|militar
militia, -ae (f.)|milicia, guerra, campaña
mille (adj. indecl.)|mil
millesimus, -a, -um|milésimo
Minerva, -ae (f.)|Minerva
minime (adv. superl. de parum)|muy poco, lo menos posible, no, de ningún modo
minimus, -a, -um|superlativo de parvus
minor, minus|comparativo de parvus
minuo, -is, -ere, minui, minutum|aminorar, reducir, limitar
minus (adv. compar. de parum)|menos
mirus, -a, -um|admirable, maravilloso, sorprendente
miser, -era, -erum|mísero, desdichado, infeliz, pobre
misere (adv.)|desdichadamente, desgraciadamente
miseria, -ae (f.)|miseria, desdicha, infortunio
mitto, -is, -ere, misi, missum|enviar, lanzar, arrojar, desechar
modo (adv.)|sólo, solamente; non modo... verum etiam: no sólo... sino también
modus, -i (m.)|modo, medida, moderación
moenia, -ium (n.)|murallas, recinto, ciudad
molestus, -a, -um|molesto
momentum, -i (n.)|importancia
mons, -ntis (m.)|monte
monstro, -as, -are, -avi, -atum|mostrar, señalar, indicar
monumentum, -i (n.)|monumento
mora, -ae (f.)|demora, tardanza
morior, -reris, -ri, mortuus sum|morir
mors, mortis (f.)|muerte
mos, moris (m.)|costumbre
moveo, -es, -ere, movi, motum|mover, promover, conmover; castra movere: levantar el campamento
mox (adv.)|en seguida, después
Mucius, -ii (m.)|Mucio (nomen)
mulier, -eris (f.)|mujer
multitudo, -dinis (f.)|multitud, muchedumbre
multo (adv.)|mucho, con mucho
multum (adv.)|mucho
multus, -a, -um|mucho, numeroso, abundante, importante; multa nox: la noche muy avanzada
munio, -is, -ire, -ivi, -itum|fortificar, defender, proteger
munitio, -onis (f.)|defensa, fortificación, trinchera
murus, -i (m.)|muro, muralla
mutatio, -onis (f.)|mutación, cambio
muto, -as, -are, -avi, -atum|cambiar, mudar, modificar, alterar
nam (conj. coord. causal)|porque, pues, en efecto
namque|ver nam
narro, -as, -are, -avi, -atum|narrar, contar, relatar
nato, -as, -are, -avi, -atum|nadar
natu (abl.)|por el nacimiento
natura, -ae (f.)|naturaleza
nauta, -ae (m.)|marinero, marino, navegante
navalis, -e|naval
navigo, -as, -are, -avi, -atum|navegar
navis, -is (f.)|nave, embarcación, navío
ne (adv.)|no; ne... quidem: ni siquiera, tampoco
ne (conj. compl.)|que no; con verbos de temor o impedimento: que; (conj. final): para que no
-ne (part. interr. enclítica)|en interrogación directa no se traduce; en indirecta: si
nec (conj. cop.)|y no, ni; nec... nec...: ni... ni...
necessario (adv.)|necesariamente, por necesidad
necessarius, -a, -um|necesario, indispensable, inevitable
necne (adv.)|o no (en el segundo miembro de doble interrogación)
neco, -as, -are, -avi, -atum|matar
nego, -as, -are, -avi, -atum|negar, decir que no
negotium, -ii (n.)|negocio, ocupación, actividad, empresa, asunto
nemo, neminis (nullius) (m.)|nadie
nequaquam (adv.)|de ningún modo
neque (conj. cop.)|y no, ni; neque... neque...: ni... ni...
nescio, -is, -ire, -ivi, -itum|no saber, ignorar
neuter, -tra, -trum|ninguno de los dos
nex, necis (f.)|muerte (violenta), asesinato
ni (conj. cond.)|si no
niger, -gra, -grum|negro
nihil y nihilum, -i (n.)|nada
nimbus, -i (m.)|nube
nimis (adv.)|demasiado, excesivamente
nisi (conj. cond.)|si no, a no ser que, a menos que; si no es = sino
nobilis, -e|noble, ilustre, notorio
nobilitas, -tatis (f.)|nobleza, fama, conjunto de personajes notables
noctu (adv.)|de noche
nolo, non vis, nolle, nolui|no querer
nomen, -minis (n.)|nombre; nomen gentilicium: nombre de la gens o familia
nomino, -as, -are, -avi, -atum|nombrar, llamar
non (adv.)|no
Nonae, -arum (f.)|nonas, día 5 del mes (día 7 en marzo, mayo, julio y octubre)
nonagesimus, -a, -um|nonagésimo
nonaginta (adj. indecl.)|noventa
nondum (adv.)|todavía no
nongentesimus, -a, -um|nongentésimo
nongenti, -ae, -a|novecientos
nonne? (adv.)|¿es que no?, ¿acaso no?
nonnullus, -a, -um|alguno
nonus, -a, -um|nono, noveno
nos, nostrum o nostri|nosotros
nosco, -is, -ere, novi, notum|conocer, saber, enterarse de
noster, -tra, -trum|nuestro
novem (adj. indecl.)|nueve
November, -bris (m.)|noviembre
November, -bris, -bre|de noviembre
novissimus, -a, -um|muy nuevo, novísimo, el más reciente, el último; novissimum agmen: la retaguardia
novo, -as, -are, -avi, -atum|renovar, restablecer, innovar, cambiar
novus, -a, -um|nuevo
nox, noctis (f.)|noche
nubes, -is (f.)|nube
nullus, -a, -um|ninguno, nadie
num (adv.)|¿acaso?, ¿es que?; en interrogación indirecta: si
Numa, -ae (m.)|Numa (Numa Pompilio, segundo rey de Roma)
numerus, -i (m.)|número, cantidad
Numidae, -arum (m.)|los númidas
nummus, -i (m.)|moneda, dinero
numquam (adv.)|nunca
nunc (adv.)|ahora
nuntio, -as, -are, -avi, -atum|anunciar, comunicar, notificar
nuntius, -ii (m.)|mensajero, enviado, mensaje, noticia
nuper (adv.)|recientemente, hace poco
nuptiae, -arum (f.)|nupcias, boda
ob (prep. ac.)|por, a causa de, frente a
obses, -sidis (m.)|rehén
obsideo, -es, -ere, -sedi, -sessum|sitiar, cercar, bloquear, asediar
obsidio, -onis (f.)|sitio, cerco, asedio, bloqueo
obsto, -as, -are, -stiti|oponerse
obsum, -es, -esse, -fui|oponerse, perjudicar
obtempero, -as, -are, -avi, -atum|obedecer, someterse
obtineo, -es, -ere, -tinui, -tentum|obtener, tener, mantener, conservar
occasio, -onis (f.)|ocasión, oportunidad, momento favorable
occido, -is, -ere, -cidi, -cisum|matar
occupo, -as, -are, -avi, -atum|ocupar, invadir, apoderarse de
ocrea, -ae (f.)|greba (pieza de la armadura que defendía la pierna)
Octavius, -ii (m.)|Octavio
octavus, -a, -um|octavo
octingentesimus, -a, -um|octingentésimo
octingenti, -ae, -a|ochocientos
octo|ocho
October, -bris (m.)|octubre
October, -bris, -bre|de octubre
octogesimus, -a, -um|octogésimo
octoginta|ochenta
oculus, -i (m.)|ojo
odi, -isse|odiar
odium, -ii (n.)|odio
offendo, -is, -ere, -ndi, -nsum|encontrarse con, toparse con, chocar con, ofender
offero, offers, offerre, obtuli, oblatum|ofrecer, presentar
omnino (adv.)|en total, sólo
omnis, -e|todo
onerarius, -a, -um|onerario, de carga, de transporte
onus, oneris (n.)|carga, peso, obligación, cargo
operio, -is, -ire, -rui, -rtum|cubrir, ocultar
opinio, -onis (f.)|opinión
oportet, -ere, oportuit|conviene, es conveniente, es necesario
oppidum, -i (n.)|ciudad, plaza, fortaleza
oppono, -is, -ere, -posui, -positum|oponer, enfrentar, poner enfrente
opprimo, -is, -ere, -pressi, -pressum|oprimir, aplastar, agobiar, sorprender
oppugnatio, -onis (f.)|asedio, sitio, cerco
oppugno, -as, -are, -avi, -atum|sitiar, cercar, asediar, atacar
optimus, -a, -um|óptimo, superlativo de bonus
opus, operis (n.)|obra, trabajo
orator, -oris (m.)|orador
orbus, -a, -um|huérfano, privado de
ordo, -dinis (m.)|orden, fila, formación, línea, clase social
Orgetorix, -rigis (m.)|Orgetórige
orior, oriris, oriri, ortus sum|nacer, originarse, surgir, producirse
orno, -as, -are, -avi, -atum|adornar
os, oris (n.)|boca
osculum, -i (n.)|beso
ostendo, -is, -ere, -ndi, -ntum|mostrar, indicar, decir, ostentar
Ostia, -ae (f.)|Ostia
otiosus, -a, -um|ocioso, desocupado
otium, -ii (n.)|ocio, tranquilidad, sosiego, paz
ovis, -is (f.)|oveja
P. = Publius|Publio
pabulor, -aris, -ari, -atus sum|forrajear
paco, -as, -are, -avi, -atum|pacificar, apaciguar, someter
paene (adv.)|casi
Palatium, -ii (n.)|el Palatino
paludamentum, -i (n.)|paludamento (capote del general)
parens, -ntis (m. y f.)|padre, madre; parentes, -ntum: los padres
paro, -as, -are, -avi, -atum|preparar
pars, -rtis (f.)|parte
partim (adv.)|en parte
parum (adv.)|poco
parvus, -a, -um|pequeño
pasco, -is, -ere, pavi, pastum|apacentar
passer, -eris (m.)|gorrión
passim (adv.)|por todas partes
passus, -us (m.)|paso
pastor, -oris (m.)|pastor
pateo, -es, -ere, -tui|estar abierto, estar patente, ser claro, manifiesto o accesible, extenderse
pater, -tris (m.)|padre; patres conscripti: los senadores
patiens, -ntis|paciente, tolerante, sufrido
patientia, -ae (f.)|paciencia, tolerancia
patior, -teris, -ti, passus sum|padecer, sufrir, tolerar, aguantar, soportar
patria, -ae (f.)|patria
paucus, -a, -um|poco; pauci: unos pocos, unos cuantos
paulatim (adv.)|poco a poco, paulatinamente
paulisper (adv.)|por poco tiempo, durante algún tiempo
paulo (adv.)|poco
paulum (adv.)|un poco
pauper, -eris|pobre
pavo, -onis (m.)|pavo
pavor, -oris (m.)|pavor, terror, espanto
pax, pacis (f.)|paz
pectus, -toris (n.)|pecho
pecunia, -ae (f.)|dinero
pedes, -ditis (m.)|infante, soldado de a pie
pedester, -tris, -tre|pedestre, de a pie
peditatus, -us (m.)|infantería
peior, -ius|comparativo de malus
penna, -ae (f.)|pluma
per (prep. ac.)|por, a través de, por medio de
perdo, -is, -ere, -didi, -ditum|perder
perduco, -is, -ere, -duxi, -ductum|conducir, extender, construir
pereo, -is, -ire, -ii, -itum|perecer, morir, perderse, desaparecer
perfacile (adv.)|muy fácilmente
perfacilis, -e|muy fácil, facilísimo
perficio, -is, -ere, feci, -fectum|hacer, acabar, lograr
Pergamum, -i (n.)|Pérgamo
periculosus, -a, -um|peligroso
periculum, -i (n.)|peligro
permaneo, -es, -ere, -nsi, -nsum|permanecer, quedarse
permoveo, -es, -ere, -movi, -motum|mover, conmover
permultus, -a, -um|muchísimo
perpauci, -ae, -a|muy pocos
perpetuus, -a, -um|perpetuo; in perpetuum: para siempre
persequor, -queris, -qui, -secutus sum|perseguir
perspicio, -is, -ere, -spexi, -spectum|examinar, observar, ver
persuadeo, -es, -ere, -suasi, -suasum|persuadir
perturbo, -as, -are, -avi, -atum|perturbar, alterar, trastornar
pervenio, -is, -ire, -veni, -ntum|llegar
pes, pedis (m.)|pie
pessimus, -a, -um|superlativo de malus
peto, -is, -ere, -tivi (-tii), -titum|pedir, pretender, buscar, dirigirse a, atacar
physica, -ae (f.)|física
pietas, -atis (f.)|piedad
pilum, -i (n.)|dardo, lanza
pirata, -ae (m.)|pirata
Piso, -onis (m.)|Pisón
pius, -a, -um|pío, piadoso
placeo, -es, -ere, -cui, -citum|agradar, gustar, parecer bien
plenus, -a, -um|lleno
plures, -ra (gen.: plurium)|más numerosos, en mayor número, más
plurimi, -ae, -a|muchísimos
plurimum (adv.)|muchísimo
plus (adv.)|más
poena, -ae (f.)|castigo; poenam o poenas dare: pagar (= sufrir) el castigo
Poeni, -orum (m.)|los cartagineses
Poenus, -i (m.)|el cartaginés, Aníbal
poeta, -ae (m.)|poeta
polliceor, -eris, -eri, -licitus sum|prometer
pono, -is, -ere, posui, positum|poner, colocar, situar, establecer; arma ponere: deponer las armas
pons, -ntis (m.)|puente
pontifex, -ficis (m.)|pontífice, sacerdote
Pontus, -i (m.)|el Ponto
popularis, -e|popular, partidario
populor, -aris, -ari, -atus sum|devastar, asolar, saquear
populus, -i (m.)|pueblo
Porsenna, -ae (m.)|Porsena
porta, -ae (f.)|puerta
porto, -as, -are, -avi, -atum|llevar, transportar
possessio, -onis (f.)|posesión
possum, potes, posse, potui|poder
post (adv.)|después; (prep. ac.): después de, detrás de
postea (adv.)|después
posteaquam (conj. temp.)|después de que, después que, desde que, cuando
posterus, -a, -um|siguiente
postquam|ver posteaquam
postremo (adv.)|por último, por fin
postridie (adv.)|al día siguiente
postulo, -as, -are, -avi, -atum|pedir
potens, -ntis|poderoso, potente, influyente
potentia, -ae (f.)|poder, poderío
potestas, -tatis (f.)|potestad, poder, autoridad
potior, -iris, -iri, -itus sum|apoderarse, adueñarse de (+ abl.)
praecedo, -is, -ere, -cessi, -cessum|preceder, aventajar
praecipito, -as, -are, -avi, -atum|precipitar, arrojar, lanzar, echar
praeda, -ae (f.)|presa, botín
praedico, -is, -ere, -dixi, -dictum|predecir, anunciar
praefectus, -i (m.)|prefecto, jefe
praeficio, -is, -ere, -feci, -fectum|poner al frente de, dar el mando de, hacer jefe de (+ dat.)
praemium, -ii (n.)|premio, recompensa
praenomen, -minis (n.)|nombre individual, antepuesto al de la gens
praeparo, -as, -are, -avi, -atum|preparar, disponer de antemano
praepono, -is, -ere, -posui, -positum|anteponer, situar delante
praesens, -ntis|presente
praesidium, -ii (n.)|defensa, guarnición, protección
praesto, -as, -are, -stiti, -statum|aventajar (+ dat.)
praesum, -es, -esse, -fui|estar al frente de, tener el mando de, ser el jefe de (+ dat.)
praeter (prep. ac.)|excepto
praeterea (adv.)|además
praetereo, -is, -ire, -ii, -itum|pasar, dejar atrás, omitir
praeterquam (adv.)|excepto
praetexta, -ae (f.)|toga pretexta
praetor, -oris (m.)|pretor
praetorium, -ii (n.)|pretorio, tienda del general
praetorius, -a, -um|del pretor, del general
prandeo, -es, -ere, -ndi, -nsum|almorzar
prandium, -ii (n.)|almuerzo, comida de mediodía
pratum, -i (n.)|prado
premo, -is, -ere, pressi, pressum|apretar, oprimir, acosar, agobiar
pretiosus, -a, -um|valioso
pridie (adv.)|la víspera, el día anterior
primo (adv.)|primero
primum (adv.)|primero, en primer lugar, por primera vez
primus, -a, -um|primero
princeps, -cipis (m.)|príncipe, personaje importante, jefe
principalis, -e|principal
prior, -ius|primero, anterior (entre dos)
Priscus, -i (m.)|Prisco
prius (adv.)|antes
priusquam (conj. temp.)|antes de que
pro (prep. abl.)|delante de, por, en defensa de, en lugar de
probo, -as, -are, -avi, -atum|probar, aprobar
procedo, -is, -ere, -cessi, -cessum|avanzar
procul (adv.)|lejos; procul abesse: distar mucho, estar muy lejos
prodeo, -is, -ire, -ii, -itum|avanzar
proelium, -ii (n.)|combate, batalla
profectio, -onis (f.)|partida, marcha
profecto (adv.)|sin duda
proficiscor, -ceris, -ci, -fectus sum|partir, marchar, ponerse en camino
profugio, -is, -ere, -fugi, -fugitum|huir
prohibeo, -es, -ere, -bui, -bitum|impedir, rechazar
proicio o projicio, -is, -ere, -ieci, -iectum|arrojar, lanzar, expulsar, echar
promitto, -is, -ere, -misi, -missum|prometer
pronuntio, -as, -are, -avi, -atum|pronunciar, publicar, proclamar
prope (adv.)|casi, cerca; (prep. ac.): cerca de
propinquus, -a, -um|cercano
propior, -ius|comparativo de propinquus
propitius, -a, -um|propicio, favorable
propter (prep. ac.)|por, a causa de
propterea (adv.)|por esto
prosum, prodes, prodesse, profui|aprovechar, servir, favorecer (+ dat.)
protego, -is, -ere, -texi, -tectum|proteger, cubrir
provideo, -es, -ere, -vidi, -visum|prever
provincia, -ae (f.)|provincia
provocatio, -onis (f.)|apelación
proximus, -a, -um|superlativo de propinquus
prudens, -ntis|prudente
prudenter (adv.)|prudentemente
prudentia, -ae (f.)|prudencia
Prusias, -ae (m.)|Prusias
publico, -as, -are, -avi, -atum|confiscar
Publicola, -ae (m.)|Publícola
publicus, -a, -um|público
Publius, -ii (m.)|Publio (praenomen)
puella, -ae (f.)|niña
puer, -eri (m.)|niño
pugna, -ae (f.)|lucha, combate, batalla
pugno, -as, -are, -avi, -atum|luchar, combatir
pulcher, -chra, -chrum|bello, hermoso
pulchre (adv.)|bellamente
Punicus, -a, -um|púnico, cartaginés
purpureus, -a, -um|purpúreo, de púrpura
puto, -as, -are, -avi, -atum|pensar, creer, considerar
Pyrenaei, -orum (m.)|los Pirineos
Q. = Quintus|Quinto
qua (adv. rel.-interr.)|por donde, por dónde
